SampleID,WH,SK,DB02,DB01,JB01,SR02,SR03,SR01,KG02,KG01,KB03,BOK,SW08,H21,BB23,BB36,BP01,BP02,GDY,BP03,WG01,WG02,GB96,EG01,EG02,LL17,IU7,FIN
BP01,1.5903289942862497e-45,2.3558840271062434e-43,1.5160719633629881e-40,1.4975832721818248e-37,5.93472810750544e-35,1.781680954045469e-33,1.5897823927196928e-33,1.0322951112331278e-32,2.802479442749478e-32,7.023740260959296e-33,5.635669869221842e-33,2.4394624605299756e-33,4.997587094105887e-33,3.4337945624143797e-32,1.5650576837646805e-30,1.3251831438466697e-30,1.2111549820513912e-29,2.907092663796077e-30,2.423156555701803e-30,2.361269257034621e-31,1.63476837651831e-31,6.445683628179512e-33,1.7310564255151246e-32,2.977671785857332e-33,6.230530324899293e-34,1.6745722994598892e-34,2.794154076110533e-35,7.505883946048217e-37
BP02,1.3621823150139153e-47,2.0473108240735832e-45,1.448225994034084e-42,9.674277163037823e-39,5.116398408427379e-36,1.5577966585983536e-34,1.4888543029950317e-34,1.076007116824845e-33,3.604962107638399e-33,1.4684525720278687e-33,2.2217178765708845e-33,6.8067436077550276e-34,3.490087267249826e-33,4.338060117484627e-32,3.0306876226667138e-30,2.7619776517346105e-30,3.9233451665650095e-29,6.646529019288194e-29,3.026814469270211e-30,4.93438109235472e-31,3.2646591175482956e-31,1.0860795100945183e-32,4.168835141973234e-31,8.997522916648623e-32,1.0095299330503628e-32,3.726952624496797e-34,5.325046788965249e-35,1.488529817101325e-36
GDY,7.114441948521353e-49,1.069301880646485e-46,7.567098125793789e-44,5.089274009463377e-40,2.7027843974577383e-37,8.230777201350447e-36,7.876658994948159e-36,5.707324154236424e-35,1.9235111751448372e-34,8.019037244132917e-35,1.222449786964712e-34,3.685595157408575e-35,1.961354458387156e-34,2.5333049523763677e-33,1.8421041980806757e-31,1.6924348380060424e-31,2.540146973639819e-30,1.5684819256081829e-30,6.677327870849463e-29,1.062490082922425e-30,7.029004440375587e-33,1.8895723052929129e-34,1.1415634046523321e-32,1.7155976519919982e-33,1.053968638188968e-34,3.9391649684801203e-36,4.12602105557078e-37,1.2326784849773453e-38
BP03,3.527963377279675e-48,5.231994976729938e-46,3.410748245171873e-43,7.53784294651095e-40,4.375050286013937e-37,1.3374810666687307e-35,1.32113589112893e-35,1.0193388280514707e-34,3.898414853206407e-34,2.2651017348761375e-34,3.8265121593796855e-34,9.613759955831527e-35,7.366882201313917e-34,1.1353486407905447e-32,9.112960035883695e-31,8.484267750493334e-31,1.351465637435907e-29,2.721150715378567e-29,1.6535559161252654e-29,2.745742860453582e-30,8.08518277275211e-32,2.3166054047941316e-33,1.8493888785743023e-31,4.2595692516676203e-32,5.140490326066004e-33,1.1878018411149655e-34,1.5888080759828505e-35,4.540711896391854e-37
WG01,6.681008218272337e-48,1.0036333187410216e-45,7.076182777993018e-43,4.593589045428096e-39,2.4343885621051758e-36,7.412978747705563e-35,7.093710775685561e-35,5.1442937737184395e-34,1.740285680290037e-33,7.4644905317225995e-34,1.1429702953095444e-33,3.3686945823651653e-34,1.891105855784754e-33,2.605530873849589e-32,3.46798831336712e-30,1.8858175059365663e-30,2.718652867098155e-29,3.070790785871587e-29,1.0535169747298402e-30,2.256910502818644e-31,1.2652326640926227e-28,5.853766989707963e-30,1.658545139549937e-31,4.589365705758911e-32,5.452293560117636e-31,2.084382611737491e-31,4.817746381471654e-32,1.1641855759773587e-33
WG02,2.505749593146927e-50,3.8456598742389304e-48,3.557214910521448e-45,1.0925268158680435e-40,7.966466210718951e-38,2.4549619666481403e-36,2.5282159571875583e-36,2.0728355610688844e-35,8.687066532568503e-35,5.845132088007945e-35,1.0254005721361964e-34,2.445469389200902e-35,2.0661677314938288e-34,3.434749140834487e-33,5.867118272853256e-31,2.8224442095739277e-31,4.2927057463258374e-30,4.7011882909299906e-30,1.2199126054886802e-31,3.039599180942619e-32,2.580137144588558e-29,4.20463693273282e-30,2.5947178059660327e-32,1.2110301595315074e-31,2.6383856479528972e-30,1.0042303785055714e-30,5.389234496305222e-31,9.456265008657109e-33
GB96,2.167640157068737e-50,3.329423815390815e-48,3.0930193950925503e-45,9.412446266837181e-41,6.695506109019484e-38,2.0611878989040172e-36,2.1071270213289653e-36,1.7002945902947912e-35,6.891051531113342e-35,4.142377482442239e-35,7.23583095276274e-35,1.8448664546893497e-35,1.3649535344375012e-34,1.994150549106349e-33,1.5250589094465724e-31,1.408030453094813e-31,2.1323554683027584e-30,3.993388096049507e-30,1.340464654455193e-31,2.5104837424296983e-32,1.5253461834495186e-32,3.7994871593709776e-33,1.143009417812312e-31,5.15826928100445e-31,4.65105718771253e-31,1.3934331073699923e-32,3.246473615882042e-33,8.077259897651066e-35
EG01,4.79287194419039e-54,7.509452370233424e-52,1.4668320631388933e-48,1.8054279376460637e-43,1.9587265417671353e-40,6.105444499096528e-39,6.832625222494512e-39,6.485697701490238e-38,3.4082712797281457e-37,3.431574502711832e-37,6.200146268815597e-37,1.2275942584410879e-37,1.4303003357351932e-36,2.697398401871553e-35,2.5473922527550032e-33,2.3288301277488643e-33,4.0783926799247735e-32,9.573517032700244e-32,1.9319484637878932e-33,4.28033951010728e-34,1.0284682219609141e-32,2.385098605272757e-32,5.677798211817147e-32,1.2351673150326737e-30,2.754488398492319e-30,1.0505034305094386e-31,3.111292239164976e-32,7.033340216324948e-34
EG02,1.4248092181640762e-54,2.228800006166687e-52,4.227379775033222e-49,5.305537762356502e-44,6.060179130917889e-41,1.8949628668652202e-39,2.149457981882773e-39,2.105275230528382e-38,1.1759787537920019e-37,1.4168112679019146e-37,2.521820662790385e-37,4.5025769273233195e-38,6.270631307501651e-37,1.4154431004809747e-35,3.929234154911791e-33,1.5023754626014605e-33,2.680178470919847e-32,3.33847260832918e-32,5.123365371832081e-34,1.5040607639297989e-34,2.4614595194085018e-31,3.515950824627612e-31,3.6034634967073435e-32,1.926870887297923e-30,3.353404562134291e-29,1.7062938663701955e-30,6.6475622790874525e-31,1.3185140309803194e-32
LL17,2.861700159535287e-54,4.476494734175867e-52,8.470332190019019e-49,1.0541706129085637e-43,1.1938128622764759e-40,3.7312082499128006e-39,4.223444190246241e-39,4.1174166586375295e-38,2.2805778538363344e-37,2.690724117109337e-37,4.796314939950954e-37,8.663620874316993e-38,1.1835371346232009e-36,2.632366305354331e-35,7.373856015893359e-33,2.7589754146720066e-33,4.8257297886417154e-32,5.217036427594437e-32,8.811245109439136e-34,2.6133814029880074e-34,4.651472997390373e-31,6.3789006310105025e-31,1.5919324838070588e-32,1.0691432764971299e-30,2.4789161895756316e-29,1.689315294238712e-29,1.468033120251387e-29,1.8904719378472402e-31
IU7,8.060260650801892e-55,1.2608496968448744e-52,2.397422905581185e-49,3.036020626795525e-44,3.5020570222155636e-41,1.0957495377209724e-39,1.2459772029855493e-39,1.2272719896227355e-38,6.929221113784275e-38,8.604928806961191e-38,1.5276312008650885e-37,2.6806927480300454e-38,3.842993002362975e-37,8.926454761911675e-36,2.7610125138487918e-33,9.781471050533748e-34,1.763398142492218e-32,1.8647328817421793e-32,2.980844189804722e-34,9.058242368237414e-35,1.876756139242632e-31,3.3436471629128854e-31,2.93916108959792e-33,2.468014680980801e-31,7.524348249355908e-30,1.1382252183155323e-29,1.830044826908542e-29,9.862448509900582e-32
FIN,1.4639343208125803e-56,2.290030882540388e-54,4.7687988379759296e-51,7.882843225217476e-46,1.1283625687519516e-42,3.570011280298382e-41,4.2493618591552077e-41,4.602768971885905e-40,3.027693893911722e-39,5.1080371631421645e-39,8.887392865152787e-39,1.3250090783847623e-39,2.453506944705135e-38,6.768840257739568e-37,2.7434408499349067e-34,8.530263457592427e-35,1.6689387049868397e-33,1.7451533001495288e-33,2.2804268866521304e-35,7.487682655134904e-36,2.152536661991076e-32,5.265639315215972e-32,3.8085455441171026e-34,3.4137246592335796e-32,1.1121999069918711e-30,1.9581417980979544e-30,3.552155234842899e-30,4.316038349481506e-31
