SampleID,WH02,SK02,DB02,DB01,JB01,SR02,SR03,SR01,KG02,KG01,KB03,BOK,SW08,H21,BB23,BB36,BP01,BP02,GDY,BP03,WG01,WG02,GB96,EG01,EG02,LL17,IU7,FIN
KB03,1.181118914307082e-32,6.083729503921097e-32,1.682775336739029e-30,2.0092167508403395e-29,6.798681761359942e-29,3.966426493759277e-27,8.52402203561436e-27,5.53860938640545e-28,2.3236051141536388e-27,3.507593570769041e-27,1.0025633549586614e-25,3.579095889554846e-26,1.2013044659879068e-26,6.258292725186408e-27,5.686208360448894e-28,1.9501960314596176e-27,6.102642532106128e-29,2.1176718142452608e-31,6.861265173299024e-30,1.1907927897332142e-30,1.3834007341658994e-32,3.70504579431762e-34,1.630793740758141e-33,4.551479275060423e-35,2.0891677838869718e-36,5.857715003252511e-37,1.3928922288679066e-38,8.60620306831114e-40
BOK,8.794033984075146e-33,4.5223479595213757e-32,1.2506673182456935e-30,1.4871347286166027e-29,5.022278726897068e-29,2.926879941464586e-27,6.268571410992334e-27,4.034729554287131e-28,1.6457525770824404e-27,2.441225663244558e-27,6.658684647956209e-26,2.5242900507618203e-26,8.181583271837073e-27,4.4187314641448684e-27,3.793115106373607e-28,1.2788161023909633e-27,3.851811074546095e-29,1.2246949347862714e-31,4.2529427189896644e-30,6.945568990475251e-31,9.075702520359576e-33,2.4357239226495872e-34,9.106864182210881e-34,2.354576526284281e-35,1.3477692428566251e-36,3.920842193212832e-37,9.688319331024007e-39,5.977599430937618e-40
SW08,4.7757284975913326e-32,2.3546460650332155e-31,6.510919122973269e-30,7.03989778600748e-29,2.296550226298782e-28,1.314096746815618e-26,2.66494003038226e-26,1.4680548694726938e-27,3.0713161795936613e-27,2.9350638013023778e-27,2.204152789588454e-26,7.5558346345775e-27,3.491540042176858e-27,6.286126176614743e-27,1.5174618188169852e-27,5.219964335354558e-27,1.9436635698080878e-28,7.554694557869827e-31,2.1761455350096046e-29,4.19277455750346e-30,4.465440622928049e-32,1.6626584064918995e-33,5.844415510096418e-33,1.6492007507792223e-34,1.1643830948728691e-35,3.6182105366727095e-36,1.1042157312442074e-37,6.737121353281045e-39
H21,1.2895759096794736e-32,6.809453286684604e-32,1.8834558715010272e-30,2.3374258649068772e-29,7.97519150761351e-29,4.662509602932109e-27,9.948486949110165e-27,6.178332298971181e-28,2.2042240770015375e-27,2.527291067071884e-27,5.596231582798911e-27,1.6155636340700016e-27,3.076765362721273e-27,2.001378358625865e-26,1.3028195845451225e-26,4.7205052495520077e-26,2.0109917255113384e-27,1.0048104305175739e-29,2.403912721685634e-28,5.492647822327492e-29,4.320420690581553e-31,2.0075917194009164e-32,8.622439417563811e-32,3.0727752225583502e-33,1.8610023485579064e-34,5.909600981333883e-35,2.450675071927726e-36,1.5827373763985607e-37
BB23,4.954158508296432e-35,2.9841854582416993e-34,8.322381698450764e-33,1.3685240747860735e-31,5.1935687076252214e-31,3.216998782143074e-29,8.273451068560349e-29,7.739826948473218e-30,6.381156218978438e-29,1.3161203464275484e-28,1.9165222691335531e-28,4.135818584316003e-29,3.0248277556758284e-28,4.812393717368444e-27,5.325100429013374e-26,1.9502116955218535e-25,9.897320580129694e-27,7.321439352396187e-29,1.2078026736284953e-27,3.925913585434917e-28,2.41747911434553e-30,2.665563316883714e-31,7.56936804688117e-31,4.1445820964028384e-32,4.11506930662717e-33,1.461805548698112e-33,8.842364531655792e-35,6.08760408114092e-36
BB36,2.2175749193558522e-35,1.4103099428862434e-34,3.952608697812544e-33,7.379427502323771e-32,2.9300153616710866e-31,1.8640706755282626e-29,5.390822882453593e-29,6.32328426945572e-30,6.893677217016628e-29,1.970153347735155e-28,2.4205939947219223e-28,4.4491257023250026e-29,5.3991269973800495e-28,1.0891400023735086e-26,1.4269099780061004e-25,5.42869653615001e-25,2.5542784261094612e-26,1.6067620865625781e-28,3.379796663645004e-27,8.699188349623351e-28,5.064511579722794e-30,2.194913867048177e-31,1.5434913188617626e-30,7.017646975069064e-32,2.2299904077110563e-33,5.696058208983251e-34,1.853771425856993e-35,1.1380605330866904e-36
BP01,3.817443126876212e-37,2.86939397675436e-36,8.209471675419843e-35,2.3085447118749945e-33,1.0331230276844162e-32,7.057534042407796e-31,2.767770662348593e-30,4.81135940051063e-31,7.12048634087143e-30,2.710017302011793e-29,2.893732478035725e-29,4.511630830117675e-30,8.215752295004129e-29,1.91805518448854e-27,2.8040692568886574e-26,1.0783823703919329e-25,2.1383491520756434e-26,6.792753882326305e-28,3.651031543262638e-27,3.5066319506854214e-27,6.2989566978879425e-30,1.0739019117994071e-30,1.07256573738981e-29,1.1338024064243437e-30,3.553969176670752e-32,7.754834588287647e-33,4.194116321302994e-34,2.874058650483087e-35
BP02,9.106581079234109e-40,9.290617501628045e-39,2.8316837914682886e-37,1.5620247302940125e-35,7.9226073270682e-35,5.96766333801966e-33,3.7573282642730885e-32,9.853545492140356e-33,1.9391816282099177e-31,1.1187672819438572e-30,1.0125276411884139e-30,1.272303351620761e-31,3.749601185751736e-30,1.114720884851812e-28,1.9619982246251162e-27,7.734998991015566e-27,4.8320191120436464e-27,3.198664125208687e-27,7.799182921021061e-28,1.8513109716413685e-27,1.0503988997125719e-29,3.3780418467410806e-30,3.8109221666717546e-29,1.1582129857242647e-29,3.892388073032678e-31,6.304445369924575e-32,3.148812671060056e-33,2.1394818208372663e-34
GDY,1.602274656777363e-40,1.2674972140232405e-39,3.66366536397353e-38,1.1952490870140608e-36,5.545780971581283e-36,3.901160395107051e-34,1.801123523713433e-33,3.763084169285599e-34,6.496584072533581e-33,3.317237152247771e-32,3.1455663281268055e-32,4.257694336844711e-33,1.0859985264163946e-31,3.228236381263768e-30,5.821743671853995e-29,2.4110741423402415e-28,2.357388498045857e-28,1.2679616541457674e-28,7.186177660444491e-26,1.452367313428737e-27,8.589060256007421e-32,4.765917351157247e-33,3.046031074089024e-30,9.077601970700466e-31,2.345636048517976e-32,3.197158028953968e-33,1.8123458843008739e-34,1.3187389009500853e-35
BP03,6.016177087940246e-41,4.752314295194251e-40,1.372672643995672e-38,4.4084122171796e-37,2.0533889112399173e-36,1.475153886050302e-34,7.611997908155437e-34,1.8357529435891779e-34,3.713876162597593e-33,3.038807712474019e-32,2.4542117992940362e-32,2.6992091629864954e-33,1.073103147127587e-31,4.506394719499316e-30,1.07709247318005e-28,4.461406303168541e-28,9.458801386389758e-28,3.4518390685535034e-27,1.2305373097812486e-26,1.9579085321611368e-26,3.169278277036859e-30,2.9593086950222013e-31,8.511571536679162e-29,1.5791884573663472e-29,3.8962430670050235e-31,4.3586509525592333e-32,1.6811828606879625e-33,1.127513400524187e-34
